Sno,Which of the following best describes your age?,What gender do you most identify with?,Are you a registered to vote?,Are you registered to vote at the current address you reside at?,Do you feel that you fully understand the election process?,In the last 5 years did you vote in a local election? This includes voting for Councillor & mayors,Did you voted in the  2021 elections?,"If not voted, why ?",On what basis do you assess a political candidate?,Which of the following best describes your decision to vote in the 2021 election?,On what basis you select your political candidate.,Contributed or collected money,Attended election meetings/rallies,Participated in door to door canvassing,Distributed election leaflets or put up posters,Do you think the existing government is going in the right direction to benefit Tamil Nadu's people?,How would you rate Edappadi Palanisamy’s performance as the Chief Minister of Tamil Nadu ,What is your assessment of the performance of the AIADMK government in Tamil Nadu in the last five years? Would you say that you have been satisfied or dissatisfied with it? ,During the last two- three years have you or any of your family members benefited from any Government scheme ? ,On the day of voting will you vote for the same party which you voted now or your decision may change? ,Which party do you support in your ward?,What is your opinion about the candidate? ,Which party will rule Tamil Nadu for the next five years?,Why do you think your candidate will win?
185,41 - 50,Female,Yes,No,A moderate amount,No,No,I do not have reliable transportation to voting poll,Other,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Fully satisfied,I'm not sure,Vote for the same party,DMK / CONGRESS,Leadership skills,Edappadi Palanisamy,Majority 
186,Above 50,Female,Yes,Yes,A moderate amount,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,MNM,youth icon,Kamal Haasan,good 
187,18 - 24,Male,No,Yes,A little,No,No,I do not have reliable transportation to voting poll,Online Ads,"I am going to vote, and I don't care who wins.",On the basis on their promises,Yes,No,Yes,No,No,Bad,Somewhat satisfied,No,May change,MNM,No idea ,Edappadi Palanisamy,Dominant  
188,25 - 40,Male,Yes,Yes,A moderate amount,Yes,No,Due to COVID safety measure,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,Yes,Yes,Yes,Yes,No,Bad,Somewhat dissatisfied,No,May change,MNM,Trustable person ,Kamal Haasan,Kamal Haasan
189,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,I do not like any of the candidates running,Online Ads,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",Yes,Yes,Yes,Yes,Yes,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,Good,M. A. Stalin,Stalin is best 
190,41 - 50,Male,Yes,Yes,A lot,Yes,No,Due to COVID safety measure,Online Ads,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,Yes,Yes,Yes,Yes,No,Neutral,Somewhat satisfied,No,May change,DMK / CONGRESS,Youth ,M. A. Stalin,Majority and Leadership 
191,25 - 40,Male,Yes,No,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,I'm not sure,No,Vote for the same party,AIADMK / BJP,Good,Edappadi Palanisamy,his plans are good 
192,25 - 40,Male,Yes,No,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,I'm not sure,No,Vote for the same party,AIADMK / BJP,Good,Edappadi Palanisamy,his plans are good 
193,41 - 50,Male,Yes,Yes,A moderate amount,No,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,Yes,No,Yes,Good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,Nothing,Edappadi Palanisamy,Has done alot during covid time
194,18 - 24,Female,Yes,No,A little,No,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",No,No,No,No,No,Bad,Fully dissatisfied,No,May change,DMK / CONGRESS,No idea ,M. A. Stalin,Alternative for the current government 
195,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,No,Vote for the same party,DMK / CONGRESS,A well know honest person,M. A. Stalin,Strong alliance
196,25 - 40,Male,Yes,Yes,A moderate amount,Yes,No,Due to COVID safety measure,Online Ads,Other,"Influenced by others (Family, Peers)",No,No,Yes,Yes,Yes,Neutral,I'm not sure,No,Not prefer to say,MNM,--,Kamal Haasan,Best
197,Above 50,Female,No,No,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",Other,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,Yes,Yes,Yes,Neutral,I'm not sure,No,Vote for the same party,NTK,ntk is best ,Edappadi Palanisamy,majority
198,25 - 40,Male,No,Yes,A lot,Yes,Yes,"I'm Eligible to vote, but not having Voter ID",Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,Yes,No,No,No,Bad,Somewhat satisfied,No,May change,DMK / CONGRESS,promotions ,M. A. Stalin,my opinion 
199,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,Yes,Yes,Yes,Neutral,I'm not sure,No,Not prefer to say,NTK,Change and youngster,Seeman,Legand 
200,25 - 40,Male,Unsure/Don't Know,Yes,A little,No,No,"I'm Eligible to vote, but not having Voter ID",Online Ads,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,Yes,Yes,Yes,Very good,Fully satisfied,No,May change,AIADMK / BJP,Good person,Edappadi Palanisamy,Majority party 
201,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,No,No,Good,Fully satisfied,I'm not sure,Not prefer to say,Others,,Others,
202,Above 50,Female,Yes,Yes,A lot,Yes,Yes,I do not have reliable transportation to voting poll,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,No,Neutral,Somewhat satisfied,Yes,May change,AIADMK / BJP,,Others,
203,41 - 50,Male,No,No,A lot,No,No,I do not have reliable transportation to voting poll,Articles in the newspaper,Other,On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,DMK / CONGRESS,,M. A. Stalin,
204,25 - 40,Female,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,I'm not sure,Yes,May change,NOTA,,Kamal Haasan,
205,18 - 24,Male,No,No,A little,No,No,I am not registered,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Somewhat dissatisfied,No,May change,Others,,M. A. Stalin,
206,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,Yes,Good,Somewhat satisfied,Yes,Not prefer to say,Others,,Edappadi Palanisamy,
207,18 - 24,Female,Yes,Yes,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,Others,,Edappadi Palanisamy,
208,25 - 40,Male,Yes,Yes,A moderate amount,Yes,No,Due to COVID safety measure,I research all the channels before making my choice,Other,On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Somewhat satisfied,I'm not sure,Not prefer to say,NOTA,,Others,
209,18 - 24,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
210,25 - 40,Male,Yes,No,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,I'm not sure,May change,MNM,He will do things which we needed,Kamal Haasan,"He has strong support from people
 "
211,25 - 40,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,He is doing good,Edappadi Palanisamy,Yes
212,18 - 24,Male,Yes,Yes,A little,No,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,May change,AIADMK / BJP,Can do better,Edappadi Palanisamy,Awareness of him
213,41 - 50,Female,Yes,No,A moderate amount,No,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,Yes,No,No,Yes,Neutral,I'm not sure,I'm not sure,May change,MNM,,M. A. Stalin,
214,Above 50,Male,No,No,None at all,No,No,Due to COVID safety measure,I research all the channels before making my choice,Other,On the basis on their promises,No,No,No,No,No,Bad,I'm not sure,I'm not sure,Not prefer to say,AIADMK / BJP,Need more experience about the process,Edappadi Palanisamy,Publicity
215,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,No,Yes,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,Good,M. A. Stalin,he has good support
216,18 - 24,Female,Yes,Yes,A lot,Yes,No,I do not like any of the candidates running,Online Ads,Other,"Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,Somewhat satisfied,Yes,Not prefer to say,DMK / CONGRESS,,M. A. Stalin,
217,25 - 40,Male,No,No,A little,No,No,"I'm Eligible to vote, but not having Voter ID",Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,Yes,No,Yes,No,Yes,Neutral,I'm not sure,No,May change,MNM,Not satified,Kamal Haasan,May win
218,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,A great leader,Edappadi Palanisamy,
219,41 - 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,Yes,Yes,Yes,Good,Somewhat satisfied,I'm not sure,Not prefer to say,NOTA,not interested,Others,no idea
220,41 - 50,Female,Yes,No,A moderate amount,Yes,No,Due to COVID safety measure,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,No,Bad,Somewhat dissatisfied,No,Not prefer to say,DMK / CONGRESS,-,M. A. Stalin,-
221,41 - 50,Female,No,No,None at all,No,No,Due to COVID safety measure,Other,Other,"Influenced by others (Family, Peers)",No,No,No,No,No,Good,Somewhat satisfied,Yes,Not prefer to say,DMK / CONGRESS,,Kamal Haasan,
222,Above 50,Female,Yes,No,A lot,Yes,Yes,,Other,"I am going to vote, and I don't care who wins.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,No,Good,Somewhat dissatisfied,Yes,May change,NTK,-,Seeman,May win due to power of money
223,Above 50,Male,Yes,Yes,A moderate amount,Yes,No,I do not like any of the candidates running,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,Yes,No,Good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,I think he is doing good,Edappadi Palanisamy,have support
224,Above 50,Female,No,No,A lot,Yes,No,I do not have reliable transportation to voting poll,News on TV,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,Yes,No,No,No,Neutral,Somewhat dissatisfied,No,May change,MNM,,M. A. Stalin,
225,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,No,No,No,Yes,Very good,Fully satisfied,I'm not sure,Vote for the same party,NTK,,Seeman,
226,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,Yes,No,No,Yes,Very good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
227,41 - 50,Female,Yes,No,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,No,Yes,No,No,Neutral,Somewhat dissatisfied,I'm not sure,Vote for the same party,MNM,-,Kamal Haasan,-
228,18 - 24,Male,No,Yes,None at all,No,No,I am not registered,Online Ads,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,Yes,Yes,Very good,Fully dissatisfied,I'm not sure,Not prefer to say,Others,No idea,Others,no idea
229,18 - 24,Female,Yes,Yes,A little,Yes,No,"I'm Eligible to vote, but not having Voter ID",Articles in the newspaper,Other,On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,I'm not sure,May change,NTK,,T. T. V. Dhinakaran,
230,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,No,No,Yes,Very good,Somewhat dissatisfied,Yes,May change,NTK,,Seeman,
231,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,Yes,Yes,Neutral,I'm not sure,Yes,Not prefer to say,MNM,,Kamal Haasan,
232,25 - 40,Female,Yes,Yes,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,No,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
233,Above 50,Male,No,No,A lot,Yes,No,Due to COVID safety measure,Other,Other,"Influenced by others (Family, Peers)",No,No,No,No,No,Very Bad,Fully dissatisfied,No,May change,NOTA,,T. T. V. Dhinakaran,
234,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Somewhat satisfied,Yes,May change,DMK / CONGRESS,,M. A. Stalin,
235,25 - 40,Others,No,No,None at all,No,No,Due to COVID safety measure,Other,Other,On the basis on their promises,No,No,No,No,Yes,Neutral,Somewhat satisfied,I'm not sure,May change,AIADMK / BJP,,Edappadi Palanisamy,
236,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,i think is doing good,Edappadi Palanisamy,he has good support
237,Above 50,Female,Yes,Yes,A little,Yes,No,I do not have reliable transportation to voting poll,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,MNM,,M. A. Stalin,
238,25 - 40,Male,No,No,None at all,No,No,Due to COVID safety measure,News on TV,Other,"Influenced by others (Family, Peers)",Yes,No,No,No,No,Very Bad,I'm not sure,I'm not sure,Not prefer to say,Others,,Others,
239,41 - 50,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,Yes,Yes,Yes,Good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,keeping up promises,M. A. Stalin,has done good things
240,25 - 40,Male,Yes,Yes,None at all,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
241,18 - 24,Female,Yes,No,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,no,Edappadi Palanisamy,no
242,Above 50,Male,Unsure/Don't Know,Yes,A moderate amount,Yes,Yes,I am not registered,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,No,Neutral,Somewhat satisfied,I'm not sure,May change,MNM,Good person,Kamal Haasan,Kamal Haasan the actor
243,Above 50,Male,Unsure/Don't Know,No,A moderate amount,No,No,Due to COVID safety measure,Other,Other,"Influenced by others (Family, Peers)",No,No,No,No,No,Very Bad,Fully dissatisfied,No,Not prefer to say,NTK,,Kamal Haasan,
244,18 - 24,Male,Yes,Yes,A moderate amount,Yes,No,Due to COVID safety measure,Attended events where the candidate is addressing the people,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",Yes,Yes,Yes,Yes,No,Very Bad,I'm not sure,I'm not sure,Not prefer to say,Others,,Others,
245,41 - 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,no idea,M. A. Stalin,no idea
246,Above 50,Male,Yes,No,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,NTK,,Seeman,
247,25 - 40,Male,No,Yes,A moderate amount,Yes,Yes,I do not have reliable transportation to voting poll,Articles in the newspaper,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",No,No,Yes,Yes,Yes,Very Bad,Somewhat satisfied,No,Vote for the same party,MNM,Ad,Seeman,Best politician 
248,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
249,41 - 50,Male,No,No,A moderate amount,No,No,"I'm Eligible to vote, but not having Voter ID",News on TV,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,Yes,No,No,Yes,Neutral,Somewhat dissatisfied,No,Not prefer to say,Others,,Others,
250,25 - 40,Female,Yes,Yes,A lot,Yes,No,I do not like any of the candidates running,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Good,Somewhat satisfied,No,Not prefer to say,DMK / CONGRESS,,M. A. Stalin,
251,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Somewhat satisfied,No,May change,MNM,,Kamal Haasan,
252,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I don't care who wins.",On the basis on their promises,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,No idea,M. A. Stalin,No idea
253,25 - 40,Female,No,No,A moderate amount,No,No,I do not have reliable transportation to voting poll,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,Yes,Yes,Yes,Yes,Yes,Neutral,Somewhat dissatisfied,I'm not sure,May change,NTK,No idea,Seeman,No idea
254,18 - 24,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",A die-hard fan of the Party/Candidate,No,Yes,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
255,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,Yes,Very good,Somewhat satisfied,Yes,May change,DMK / CONGRESS,Can do change,M. A. Stalin,For change
256,41 - 50,Others,Unsure/Don't Know,No,None at all,No,No,I do not like any of the candidates running,Other,Other,"Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,Somewhat dissatisfied,I'm not sure,Not prefer to say,Others,,Others,
257,41 - 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,Good person,Edappadi Palanisamy,Good support
258,25 - 40,Male,Unsure/Don't Know,Yes,A lot,Yes,Yes,Due to COVID safety measure,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,Yes,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,Stalin is best politician 
259,25 - 40,Female,No,No,None at all,No,No,"I'm Eligible to vote, but not having Voter ID",I research all the channels before making my choice,Other,On the basis on their promises,Yes,No,No,No,Yes,Good,Somewhat satisfied,No,Not prefer to say,DMK / CONGRESS,-,M. A. Stalin,-
260,18 - 24,Male,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,Yes,Good,Somewhat dissatisfied,No,May change,MNM,Good person,M. A. Stalin,Will change
261,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,good job he is doing,M. A. Stalin,wanted to change
262,25 - 40,Female,No,No,A lot,Yes,No,I do not like any of the candidates running,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,satisfied,Edappadi Palanisamy,bring change in policies
263,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,No,No,No,Bad,Somewhat satisfied,No,May change,MNM,,M. A. Stalin,
264,Above 50,Female,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,Yes,Neutral,Somewhat dissatisfied,No,May change,MNM,new candiate,Kamal Haasan,want a change
265,41 - 50,Male,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,Yes,Neutral,Somewhat satisfied,Yes,Vote for the same party,DMK / CONGRESS,,Kamal Haasan,
266,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,Yes,No,No,Yes,Neutral,I'm not sure,No,May change,NTK,,Seeman,Talented guy 
267,25 - 40,Male,Unsure/Don't Know,Yes,None at all,No,No,Due to COVID safety measure,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,Yes,No,Yes,Very good,Fully satisfied,Yes,May change,AIADMK / BJP,My relative ,M. A. Stalin,Stalin for his father 
268,41 - 50,Male,No,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,Good changer,Kamal Haasan,He follows promises
269,41 - 50,Others,Yes,Yes,None at all,No,Yes,,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,No,Yes,No,No,Bad,Fully dissatisfied,I'm not sure,May change,MNM,New party candidate ,Kamal Haasan,For his ideology and process
270,Above 50,Male,Yes,Yes,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,,Kamal Haasan,
271,25 - 40,Female,No,Yes,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,Yes,No,No,Yes,Good,Somewhat dissatisfied,Yes,Vote for the same party,MNM,No idea,Kamal Haasan,does good for people
272,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,Yes,Yes,Yes,Yes,Good,Somewhat satisfied,Yes,May change,DMK / CONGRESS,may change society,Kamal Haasan,New person
273,Above 50,Female,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,Yes,Yes,Yes,Good,Somewhat satisfied,No,May change,DMK / CONGRESS,,M. A. Stalin,
274,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Somewhat satisfied,No,Not prefer to say,NOTA,Bad Opinion,T. T. V. Dhinakaran,Richest person 
275,Above 50,Female,Yes,Yes,A little,Yes,Yes,,Online Ads,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,Yes,No,Yes,Yes,Good,Somewhat dissatisfied,Yes,Vote for the same party,MNM,i like this actor,Kamal Haasan,due to his principles
276,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,No,No,Good,Somewhat satisfied,I'm not sure,May change,DMK / CONGRESS,he does good for people,Kamal Haasan,principles
277,41 - 50,Male,Unsure/Don't Know,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",On the basis of past experience/Leadership,Yes,No,No,No,No,Bad,Fully dissatisfied,I'm not sure,May change,NOTA,Nota ji,Kamal Haasan,Actor comes politician 
278,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,Yes,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,DMK / CONGRESS,good person,Kamal Haasan,no idea
279,Above 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,i like the candidate,Kamal Haasan,promises
280,Above 50,Female,Unsure/Don't Know,Yes,None at all,Yes,No,Due to COVID safety measure,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,Yes,Yes,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,Others,,M. A. Stalin,
